customer_id,first_name,last_name,email,phone,date_of_birth,gender,address_line1,address_line2,city,state,country,postal_code,registration_date,customer_type,preferred_contact_method,occupation,income_bracket
a21da188-3711-4997-b6f7-f904cf6cee27,Michael,Mcdowell,shannon86@example.net,226-884-3743x793,1998-07-20,Male,1203 Sarah Mills,Suite 219,Michelleshire,Wisconsin,Hong Kong,44988,2023-06-23,Business,Email,Nurse,Medium
7921d3ce-b054-4f70-a952-a0f0c21a1087,Michael,Hernandez,anna44@example.org,479.873.0056x3214,1975-01-03,Male,239 Deborah Squares Suite 220,Suite 805,Port Carlos,Maryland,Tunisia,84657,2023-03-27,Individual,Email,Manager,Low
3270eba9-3bbe-4718-be93-70cfdc288f21,Kevin,Barrett,jessicakeith@example.com,+1-263-862-2288,1990-06-19,Male,00850 Ashley Wall Apt. 300,Apt. 814,Reginamouth,Nebraska,Luxembourg,70488,2022-12-24,Business,Email,Construction Worker,Low
3d0761c6-2017-4674-975b-47f7dd8d205c,Michael,Melendez,scottochoa@example.com,648.544.6662,1949-01-16,Male,453 Allen Island Apt. 138,Apt. 784,Lisaport,North Dakota,Czech Republic,30303,2023-12-22,Business,Email,Manager,High
3c9ef387-9a09-42e1-bb0a-2ef8bcfe422d,Emily,Sullivan,charlesbray@example.com,(591)354-3593,1957-04-26,Female,70585 Smith Neck,Suite 892,North Amanda,Washington,Albania,35195,2024-01-29,Individual,Phone,Construction Worker,High
a811eb3d-7792-44be-a9ba-dcb4f8b4fc7c,Veronica,Bradford,maynardautumn@example.com,367.966.5524x127,1977-07-27,Female,41270 Sean Common Apt. 237,Apt. 299,West Samanthatown,Arkansas,Zimbabwe,67860,2023-04-20,Business,Mail,Lawyer,High
e553445a-2658-4bcb-85df-f5f4f2e67954,Heather,Ellis,olivia37@example.net,565.848.9356x483,1947-08-10,Female,021 Beck Valleys Apt. 886,Apt. 194,South Jonville,South Dakota,Guernsey,13728,2023-09-01,Business,Mail,Construction Worker,Medium
16e6489f-f209-4293-bd2f-787b3b2d7b7e,Charlotte,Carroll,festrada@example.com,(806)761-1387x116,1948-09-07,Female,3806 Lee Garden,Suite 501,Lake Kathryn,Louisiana,Heard Island and McDonald Islands,56495,2023-07-28,Business,Email,Manager,High
354b8019-393f-4ae0-8213-3f553a8cbbf8,Brenda,Blevins,rodriguezjulie@example.com,791.829.7753x549,1950-09-28,Female,279 Richardson Squares,Suite 028,Bergton,Alabama,Papua New Guinea,19321,2023-09-13,Business,Phone,Construction Worker,Medium
bad6c494-f866-424d-b053-52ef66370787,Thomas,Smith,kennethchavez@example.org,858.630.9141x410,1976-04-21,Male,30015 Kyle Branch,Suite 846,Pearsonfort,Wisconsin,Guinea-Bissau,71647,2022-11-22,Business,Phone,Construction Worker,High
1c98d499-18eb-4c62-b921-ca69de6a4d23,Peter,Daniels,clarkpatrick@example.com,730-783-1423x67946,1973-01-30,Male,66372 Ingram Point Apt. 023,Apt. 921,Port Jesseton,Texas,Hong Kong,70642,2022-12-01,Individual,Phone,Manager,High
fd153666-9f28-44a0-a2bd-b3f4032a0415,Alicia,Jenkins,qvazquez@example.net,953.353.1394x26216,1994-04-06,Male,70522 Jose Islands Suite 299,Suite 506,Pooleport,Illinois,Italy,89334,2023-09-23,Individual,Email,Manager,Medium
74f50d8c-5138-4036-a483-4aeb0885e490,Gary,Rogers,kbarnett@example.com,400.382.8684,1946-03-04,Male,7699 Walls Crescent Apt. 946,Suite 010,Sydneybury,Kansas,Zimbabwe,63622,2024-06-09,Business,Email,Construction Worker,Medium
6e47b229-6eb0-4731-b88c-a8606b333770,Gary,Walls,xrivera@example.net,427.211.1515x0818,1947-08-18,Female,343 Bruce Haven,Apt. 329,Port Amandaville,Ohio,United Arab Emirates,74421,2024-06-18,Business,Phone,Nurse,Medium
